Candidato;Partido;Número de Votos;Percentual
Partido da Social Democracia Brasileira;PSDB;2;
Movimento Democrático Brasileiro;MDB;3;
Partido Trabalhista Brasileiro;PTB;8;
Partido da Social Democracia Brasileira;PSDB;2;
Movimento Democrático Brasileiro;MDB;16;
Partido Trabalhista Brasileiro;PTB;8;
Partido da Social Democracia Brasileira;PSDB;3;
Movimento Democrático Brasileiro;MDB;9;
Partido Trabalhista Brasileiro;PTB;12;
Partido da Social Democracia Brasileira;PSDB;1;
Movimento Democrático Brasileiro;MDB;6;
Partido Trabalhista Brasileiro;PTB;5;
Partido da Social Democracia Brasileira;PSDB;1;
Movimento Democrático Brasileiro;MDB;7;
Partido Trabalhista Brasileiro;PTB;2;
Partido da Social Democracia Brasileira;PSDB;1;
Movimento Democrático Brasileiro;MDB;9;
Partido Trabalhista Brasileiro;PTB;11;
Partido da Social Democracia Brasileira;PSDB;2;
Movimento Democrático Brasileiro;MDB;4;
Partido Trabalhista Brasileiro;PTB;5;
JOSÉ CICERO DE OLIVEIRA;PSDB;2;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;8;
ALEXSANDRO DE LIMA;PSDB;9;
FABIANA DE OLIVEIRA SILVA;PSDB;1;
ROSA MARIA DA SILVA SANTOS;PSDB;1;
ELIAS LEANDRO DA SILVA;PSDB;1;
LUIZ EDUARDO MARQUES DA SILVA;PSDB;1;
VOTO BRANCO;branco;4;
VOTO NULO;NULO;10;
MARCOS JOSE HERCULANO DA SILVA;PTB;100;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;125;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;17;
VOTO BRANCO;branco;1;
VOTO NULO;NULO;9;
GERALDO DOS SANTOS;PTB;10;
JOSÉ CARLOS SILVA MONTEIRO;PTB;1;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;4;
WELLINGTON DOS SANTOS;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;3;
ISAEL RIBEIRO DOS SANTOS;PTB;4;
LEVI JOSÉ DA SILVA;PTB;5;
DAIANA SILVA DE SOUSA;PTB;5;
PRISCILA FERNANDES GOMES;PTB;2;
SUYANNE VALERIO DE LIMA;PTB;2;
ARY CLEYTON DE CARVALHO REGO;MDB;19;
MANOEL LUIS SANTOS DA SILVA;MDB;10;
ROSIETE DE ARAUJO SILVA;MDB;1;
EGUIMAR FERREIRA DA SILVA;MDB;17;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;6;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;3;
WILLIAM BIZERRA DOS SANTOS;MDB;11;
GIBSON BUARQUE DE MELO;MDB;19;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;9;
GERALDO DOS SANTOS;PTB;10;
LEANDRO JOÃO DA SILVA;PSDB;2;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;7;
CLOVIS MARQUES DOS SANTOS;PTB;1;
WELLINGTON DOS SANTOS;PTB;1;
ISAEL RIBEIRO DOS SANTOS;PTB;13;
LEVI JOSÉ DA SILVA;PTB;3;
LOURIVAL DOS SANTOS LIMA;PTB;1;
ADEVAN DE LIMA SILVA;PSDB;1;
ARNALDO DA SILVA LIMA;PSDB;1;
JOSÉ CICERO DE OLIVEIRA;PSDB;6;
ELIAS LEANDRO DA SILVA;PSDB;1;
GENALDO CRISTOVÃO DOS SANTOS;PSDB;1;
VOTO BRANCO;branco;2;
VOTO NULO;NULO;14;
MARCOS JOSE HERCULANO DA SILVA;PTB;153;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;164;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;14;
VOTO BRANCO;branco;2;
VOTO NULO;NULO;6;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;9;
ALEXSANDRO DE LIMA;PSDB;17;
ISAEL RIBEIRO DOS SANTOS;PTB;10;
GERALDO DOS SANTOS;PTB;15;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;2;
INALDO GONÇALVES DA SILVA;PTB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;12;
ALEXSANDRO DE LIMA;PSDB;4;
MARIA AUZENI DA SILVA;PSDB;1;
JOSÉ CICERO DE OLIVEIRA;PSDB;5;
ELIAS LEANDRO DA SILVA;PSDB;1;
GENALDO CRISTOVÃO DOS SANTOS;PSDB;1;
MICHELLE MARIA DOS SANTOS;PSDB;1;
VOTO BRANCO;branco;6;
VOTO NULO;NULO;15;
MARCOS JOSE HERCULANO DA SILVA;PTB;155;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;131;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;26;
VOTO BRANCO;branco;5;
VOTO NULO;NULO;9;
LEVI JOSÉ DA SILVA;PTB;2;
LOURIVAL DOS SANTOS LIMA;PTB;4;
DAIANA SILVA DE SOUSA;PTB;8;
PRISCILA FERNANDES GOMES;PTB;8;
SUYANNE VALERIO DE LIMA;PTB;1;
EVERALDO FERREIRA DE LIMA;PTB;1;
ARY CLEYTON DE CARVALHO REGO;MDB;10;
MANOEL LUIS SANTOS DA SILVA;MDB;26;
ROSIETE DE ARAUJO SILVA;MDB;1;
EGUIMAR FERREIRA DA SILVA;MDB;26;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;4;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;8;
WILLIAM BIZERRA DOS SANTOS;MDB;15;
SIDIANE MARIA LIMA DA SILVA;MDB;1;
GIBSON BUARQUE DE MELO;MDB;20;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;11;
SONIA MARIA DA SILVA;MDB;16;
MANOEL ELIAS DE MELO CALHEIROS;MDB;9;
ADEILSON DE ARAUJO VIEIRA;MDB;21;
CLEIDE JANE DOS SANTOS;MDB;4;
JOSÉ RENATO DOS SANTOS;MDB;10;
DJALMA DA ROSA CALHEIROS;MDB;22;
LEANDRO JOÃO DA SILVA;PSDB;3;
ELIAS LEANDRO DA SILVA;PSDB;2;
LUIZ EDUARDO MARQUES DA SILVA;PSDB;1;
VOTO BRANCO;branco;6;
